tumor_barcode,Cell Type,count,total,fraction,Genotype
Tumor_132,AT2 cell,13.0,65,0.2,Kras-H3K36M-Setd2KO
Tumor_132,Respiratory epithelium,0.0,65,0.0,Kras-H3K36M-Setd2KO
Tumor_132,T cell,6.0,65,0.09230769230769231,Kras-H3K36M-Setd2KO
Tumor_132,TAM 1,5.0,65,0.07692307692307693,Kras-H3K36M-Setd2KO
Tumor_132,Neutrophil,0.0,65,0.0,Kras-H3K36M-Setd2KO
Tumor_132,CAF,0.0,65,0.0,Kras-H3K36M-Setd2KO
Tumor_132,Plasma cell,0.0,65,0.0,Kras-H3K36M-Setd2KO
Tumor_132,Pericyte,1.0,65,0.015384615384615385,Kras-H3K36M-Setd2KO
Tumor_132,B cell,7.0,65,0.1076923076923077,Kras-H3K36M-Setd2KO
Tumor_132,Vascular endothelial,2.0,65,0.03076923076923077,Kras-H3K36M-Setd2KO
Tumor_132,Lung fibroblast,3.0,65,0.046153846153846156,Kras-H3K36M-Setd2KO
Tumor_132,Airway smooth muscle,0.0,65,0.0,Kras-H3K36M-Setd2KO
Tumor_132,Lymphatic endothelial,0.0,65,0.0,Kras-H3K36M-Setd2KO
Tumor_132,Mesothelial,0.0,65,0.0,Kras-H3K36M-Setd2KO
Tumor_128,Malignant 2 (AT2-like),108.0,263,0.41064638783269963,Kras-H3K36M-Setd2KO
Tumor_128,Malignant 1,4.0,263,0.015209125475285171,Kras-H3K36M-Setd2KO
Tumor_128,TAM 2,5.0,263,0.019011406844106463,Kras-H3K36M-Setd2KO
Tumor_128,Malignant 3,0.0,263,0.0,Kras-H3K36M-Setd2KO
Tumor_128,Tumor-associated vasculature,31.0,263,0.11787072243346007,Kras-H3K36M-Setd2KO
Tumor_128,AT1 cell,5.0,263,0.019011406844106463,Kras-H3K36M-Setd2KO
Tumor_128,Proliferating malignant,1.0,263,0.0038022813688212928,Kras-H3K36M-Setd2KO
Tumor_128,AT2 cell,31.0,263,0.11787072243346007,Kras-H3K36M-Setd2KO
Tumor_128,Respiratory epithelium,1.0,263,0.0038022813688212928,Kras-H3K36M-Setd2KO
Tumor_128,T cell,13.0,263,0.049429657794676805,Kras-H3K36M-Setd2KO
Tumor_128,TAM 1,25.0,263,0.09505703422053231,Kras-H3K36M-Setd2KO
Tumor_128,Neutrophil,0.0,263,0.0,Kras-H3K36M-Setd2KO
Tumor_128,CAF,9.0,263,0.034220532319391636,Kras-H3K36M-Setd2KO
Tumor_128,Plasma cell,7.0,263,0.026615969581749048,Kras-H3K36M-Setd2KO
Tumor_128,Pericyte,2.0,263,0.0076045627376425855,Kras-H3K36M-Setd2KO
Tumor_128,B cell,4.0,263,0.015209125475285171,Kras-H3K36M-Setd2KO
Tumor_128,Vascular endothelial,12.0,263,0.045627376425855515,Kras-H3K36M-Setd2KO
Tumor_128,Lung fibroblast,3.0,263,0.011406844106463879,Kras-H3K36M-Setd2KO
Tumor_128,Airway smooth muscle,0.0,263,0.0,Kras-H3K36M-Setd2KO
Tumor_128,Lymphatic endothelial,2.0,263,0.0076045627376425855,Kras-H3K36M-Setd2KO
Tumor_128,Mesothelial,0.0,263,0.0,Kras-H3K36M-Setd2KO
