names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference
Exph5,-3.917479,0.1103294,8.947984439329383e-05,0.00018640703330538032,1.0,1.0
Tmprss2,-3.9208167,0.05211426,8.824936926238177e-05,0.00018399681071531993,1.0,1.0
Klhl22,-3.922409,0.3051212,8.76679544527894e-05,0.00018286074166277657,1.0,1.0
Sema4a,-3.9279966,1.0932374,8.56563986340036e-05,0.00017873944625336474,1.0,1.0
Ikzf2,-3.9281788,-1.6326362,8.559153143778701e-05,0.0001786785681307597,1.0,1.0
Cic,-3.9297192,1.8123051,8.50450817851859e-05,0.00017761188127519425,1.0,1.0
Foxa2,-3.9443781,0.08502547,8.000735144120884e-05,0.00016716060155037206,1.0,1.0
Ccnb1,-3.9626563,,7.412046891437773e-05,0.00015499042079589596,1.0,1.0
Casz1,-3.962737,-0.0095805675,7.409539185083226e-05,0.00015499042079589596,1.0,1.0
Polr1e,-3.9672158,-0.24983254,7.27171854916176e-05,0.0001522468551112663,1.0,1.0
Haspin,-3.9759812,-2.3171508,7.008965653364489e-05,0.0001468684891617523,1.0,1.0
Scnn1g,-3.9784515,0.0631466,6.936558254674436e-05,0.00014541210478601435,1.0,1.0
Itln1,-3.9824283,-1.8418705,6.821471527818241e-05,0.00014305943220887355,1.0,1.0
Spaca9,-3.988246,,6.6563642129006e-05,0.0001396553195715859,1.0,1.0
Pkp4,-4.000655,-0.6945182,6.316739848168065e-05,0.0001325853236055737,1.0,1.0
Ash1l,-4.0083933,-2.8515286,6.1133243077204e-05,0.00012836955320657853,1.0,1.0
Ogg1,-4.0119095,1.1323338,6.0229608532811634e-05,0.00012652514490778643,1.0,1.0
Rad50,-4.0154157,0.53878164,5.934108058078164e-05,0.0001247109359308954,1.0,1.0
Myh7,-4.0162435,0.24878219,5.913319676933642e-05,0.00012432624234661827,1.0,1.0
Cdk1,-4.02351,-1.5457602,5.7337162927179516e-05,0.0001206514659997733,1.0,1.0
Prpsap2,-4.051658,1.8667127,5.085594610267354e-05,0.0001071034355027277,1.0,1.0
Adtrp,-4.071274,,4.675677029745174e-05,9.855342825643932e-05,1.0,1.0
Cit,-4.07603,-0.7724311,4.5811125763910976e-05,9.660088271867664e-05,1.0,1.0
Pcif1,-4.078972,,4.5235331215544964e-05,9.54269144816764e-05,1.0,1.0
Acvr2b,-4.0886154,0.5983635,4.339559207970796e-05,9.162308475369804e-05,1.0,1.0
Aurkb,-4.09456,-0.4504678,4.229704849716103e-05,8.937907335449054e-05,1.0,1.0
Mkks,-4.100411,1.430543,4.1241717196396076e-05,8.718582613393528e-05,1.0,1.0
Slc22a5,-4.10458,-2.605162,4.0505035696280505e-05,8.566464245694136e-05,1.0,1.0
Mad2l1,-4.1246657,,3.712733702946e-05,7.86540199616914e-05,1.0,1.0
Orai1,-4.1411347,0.22099367,3.455919821220282e-05,7.327545372735592e-05,1.0,1.0
Anp32e,-4.146198,,3.380415139987865e-05,7.170490758804767e-05,1.0,1.0
Nptxr,-4.1528635,,3.283405524170746e-05,6.967667678676877e-05,1.0,1.0
Pde12,-4.1555448,,3.245133706381128e-05,6.892295008122158e-05,1.0,1.0
Itga3,-4.1568894,-0.055486657,3.226102683906162e-05,6.857694282647239e-05,1.0,1.0
Gprc5b,-4.161371,0.07891535,3.163426615425098e-05,6.727321001197128e-05,1.0,1.0
Kcnj2,-4.1735263,0.2595247,2.9992110642852444e-05,6.380811979520584e-05,1.0,1.0
Zbp1,-4.189535,0.3579818,2.7952623606386452e-05,5.949440211461334e-05,1.0,1.0
Ptges,-4.1974325,-0.002887477,2.6995819455913646e-05,5.750683923246966e-05,1.0,1.0
Mkx,-4.2124605,,2.526040513550755e-05,5.385587227783254e-05,1.0,1.0
Fam104a,-4.2340317,-4.402341,2.2953842317491014e-05,4.895906887147849e-05,1.0,1.0
Nectin2,-4.247461,-0.008231528,2.162067880800486e-05,4.615484780932722e-05,1.0,1.0
Hace1,-4.2482877,-0.14746897,2.1541048970849642e-05,4.6004475745765064e-05,1.0,1.0
Riox1,-4.2915864,0.20392373,1.7740133437998718e-05,3.7967981184532525e-05,1.0,1.0
Thrb,-4.2928944,0.43845692,1.763590407561154e-05,3.776105038601855e-05,1.0,1.0
Capn10,-4.2936845,-0.15001781,1.757323316092797e-05,3.76429632878072e-05,1.0,1.0
Fzd8,-4.3079815,1.8038361,1.647510585778256e-05,3.5305813323655605e-05,1.0,1.0
Pias1,-4.310763,,1.6269233548745437e-05,3.4879564516068374e-05,1.0,1.0
Inpp5e,-4.328532,-0.015000074,1.501064182121013e-05,3.222267279458744e-05,1.0,1.0
Rai14,-4.342303,-0.09466423,1.4099692672650996e-05,3.028016367193946e-05,1.0,1.0
Cptp,-4.3570905,0.67325354,1.3180291882206795e-05,2.832998761800224e-05,1.0,1.0
Med12,-4.363676,,1.2789478686810075e-05,2.750177418649967e-05,1.0,1.0
Slc22a18,-4.3851247,,1.1591930206436568e-05,2.493734534311193e-05,1.0,1.0
Fbxo11,-4.391894,,1.1236752350393308e-05,2.4183655316452665e-05,1.0,1.0
Eya2,-4.3963904,0.058530636,1.1006593676307622e-05,2.3698498040256326e-05,1.0,1.0
Supt3,-4.404405,-0.47447342,1.0607444849310653e-05,2.2848910893136457e-05,1.0,1.0
Gorasp1,-4.4124236,0.7991117,1.022197679263774e-05,2.202807396639885e-05,1.0,1.0
Bloc1s5,-4.422013,,9.778558933393455e-06,2.109067902652634e-05,1.0,1.0
Pou2f1,-4.4375067,-1.4250492,9.10068571300861e-06,1.9637083051431507e-05,1.0,1.0
Dagla,-4.4379516,,9.081906228026245e-06,1.9605011891979036e-05,1.0,1.0
Hdac5,-4.4426494,,8.88579546349594e-06,1.919822705665113e-05,1.0,1.0
Cd3eap,-4.4446917,-7.0410647,8.801797656737905e-06,1.903317454411661e-05,1.0,1.0
Rragd,-4.4508376,0.18522538,8.553599574682537e-06,1.8504459581184433e-05,1.0,1.0
Ctnna1,-4.4548697,-0.8289573,8.39441164074949e-06,1.8167931116987438e-05,1.0,1.0
Eloc,-4.4713163,,7.773963375743206e-06,1.684695266622099e-05,1.0,1.0
Dmap1,-4.493731,0.93526095,6.998609256066508e-06,1.5186405693918048e-05,1.0,1.0
Wee1,-4.499485,-0.2551002,6.8118213049965605e-06,1.478750106366556e-05,1.0,1.0
Slc8a1,-4.5032988,0.82320756,6.690669855188208e-06,1.4530799694174477e-05,1.0,1.0
Cxcl3,-4.5147004,,6.340632895138835e-06,1.3782548099463747e-05,1.0,1.0
Cd69,-4.5230536,-2.069216,6.09538472136805e-06,1.3255211083913318e-05,1.0,1.0
Rcc2,-4.55028,,5.357460749256174e-06,1.1665701831568686e-05,1.0,1.0
Dek,-4.5512424,1.738298,5.333003062851675e-06,1.1617499274427973e-05,1.0,1.0
Rcn2,-4.5519295,-0.625412,5.3156158231636644e-06,1.158466382706021e-05,1.0,1.0
Drosha,-4.5706477,-0.91457254,4.86219145583861e-06,1.0610344563177019e-05,1.0,1.0
Arhgap35,-4.5712867,-0.2720473,4.847382841776944e-06,1.0582642174415779e-05,1.0,1.0
Zmynd19,-4.572925,,4.809622721282983e-06,1.0504786798753321e-05,1.0,1.0
Mafk,-4.574414,-0.3840787,4.7755567316430135e-06,1.0434935398779976e-05,1.0,1.0
Cep164,-4.5983324,0.90459496,4.258857802411636e-06,9.314042009118676e-06,1.0,1.0
Lancl2,-4.599056,-0.3325953,4.2441023045244706e-06,9.28582873096569e-06,1.0,1.0
Trim33,-4.601519,,4.1942032743778125e-06,9.184681361126566e-06,1.0,1.0
Hif1an,-4.60218,-1.1219916,4.180920125459221e-06,9.159600064791623e-06,1.0,1.0
Yipf1,-4.6048822,,4.126989177673669e-06,9.045406227423111e-06,1.0,1.0
Sirt1,-4.611951,-3.2425294,3.989074168458826e-06,8.74695807591103e-06,1.0,1.0
Birc5,-4.613622,-0.7509513,3.9571166540962325e-06,8.680686227171666e-06,1.0,1.0
Rnf31,-4.640401,1.9286685,3.477339311366134e-06,7.634894996797748e-06,1.0,1.0
Foxo3,-4.6529417,-2.4090633,3.272331110610991e-06,7.187928714224932e-06,1.0,1.0
Gtf2e1,-4.6823287,-1.2712806,2.8363446103778873e-06,6.238462706305669e-06,1.0,1.0
Sufu,-4.6887302,-0.7114838,2.749054715207047e-06,6.049128749154496e-06,1.0,1.0
Ruvbl1,-4.6901965,-1.5881938,2.7294248095292327e-06,6.0085754602037545e-06,1.0,1.0
Dgka,-4.695626,-0.36198744,2.657915741783459e-06,5.856305547257041e-06,1.0,1.0
Pithd1,-4.700217,,2.5988524032045394e-06,5.731213713851069e-06,1.0,1.0
Mcph1,-4.7030416,-0.45063826,2.5631429300561576e-06,5.654955270101862e-06,1.0,1.0
Mta3,-4.710945,2.1457088,2.46570528158994e-06,5.442381234408837e-06,1.0,1.0
Erc2,-4.718113,,2.38042247520195e-06,5.256460040079824e-06,1.0,1.0
Abl1,-4.720683,,2.3505396369807807e-06,5.192763205086402e-06,1.0,1.0
Hacl1,-4.7439647,,2.095754481584543e-06,4.631941251572724e-06,1.0,1.0
C1qtnf12,-4.7445803,1.9639914,2.0893892751190823e-06,4.619912858324261e-06,1.0,1.0
Tshz1,-4.7457194,-0.7951857,2.0776630557534087e-06,4.596014696023669e-06,1.0,1.0
Ntmt1,-4.7578053,2.194028,1.9570893792758934e-06,4.333122261236233e-06,1.0,1.0
Tdg,-4.758139,-1.3562101,1.9538590609661086e-06,4.327884273980681e-06,1.0,1.0
Erbb2,-4.75995,0.24759807,1.936409721409497e-06,4.291131945717548e-06,1.0,1.0
Kat6a,-4.7703576,,1.838992624859948e-06,4.080672464560683e-06,1.0,1.0
Mmp15,-4.788505,-0.021525377,1.6802847634219301e-06,3.731812566854562e-06,1.0,1.0
Cnot8,-4.7923403,2.6302016,1.6484700478541765e-06,3.664405443853467e-06,1.0,1.0
Sp3,-4.8169503,,1.4576895055824275e-06,3.243197184420281e-06,1.0,1.0
Adar,-4.8176737,2.0557685,1.4524156501161726e-06,3.2329002865636106e-06,1.0,1.0
Clic6,-4.825963,0.2314014,1.3932831734443921e-06,3.1026581700456526e-06,1.0,1.0
Nectin3,-4.82602,-0.05208512,1.3928883665638825e-06,3.1026581700456526e-06,1.0,1.0
Ctnnbip1,-4.8329034,0.0136928605,1.3455624272859785e-06,2.999058553425471e-06,1.0,1.0
Kdm5b,-4.8414,-0.582454,1.2892733776654765e-06,2.8761597721004347e-06,1.0,1.0
Nadk2,-4.8579154,0.22842658,1.1862813294591782e-06,2.647581067887938e-06,1.0,1.0
Irx2,-4.872915,0.12229303,1.0996369245837075e-06,2.4563955575484333e-06,1.0,1.0
Cbx5,-4.8738556,-0.61216486,1.0944094185159048e-06,2.445809620129741e-06,1.0,1.0
Dglucy,-4.8747535,1.0378375,1.0894451285955877e-06,2.435802730571466e-06,1.0,1.0
