tumor_barcode,Module 6,Genotype
Tumor_119,0.8146584092682032,Kras-H3K36M-Setd2KO
Tumor_120,3.021726536788042,Kras-H3K36M-Setd2KO
Tumor_121,1.3210068515110256,Kras-H3K36M-Setd2KO
Tumor_122,-0.5025841326923279,Kras-H3K36M-Setd2KO
Tumor_123,0.965912472878981,Kras-H3K36M-Setd2KO
Tumor_124,0.04810783474894616,Kras-H3K36M-Setd2KO
Tumor_125,0.7827025643606773,Kras-H3K36M-Setd2KO
Tumor_126,2.234034195182013,Kras-H3K36M-Setd2KO
Tumor_127,0.2844572688595808,Kras-H3K36M-Setd2KO
Tumor_128,1.1656229575199677,Kras-H3K36M-Setd2KO
Tumor_129,1.4465277130437333,Kras-H3K36M-Setd2KO
Tumor_130,0.5223246667028301,Kras-H3K36M-Setd2KO
Tumor_131,-0.3768192835423622,Kras-H3K36M-Setd2KO
Tumor_132,-0.04478908892586392,Kras-H3K36M-Setd2KO
Tumor_133,-0.45252464121452374,Kras-H3K36M-Setd2KO
Tumor_134,0.47281261083358217,Kras-H3K36M-Setd2KO
Tumor_135,1.118857897837606,Kras-H3K36M-Setd2KO
Tumor_136,0.3438397761974438,Kras-Setd2KO
Tumor_137,0.11078068966132867,Kras-Setd2KO
Tumor_138,0.5203909221631061,Kras-Setd2KO
Tumor_139,0.5024395515815507,Kras-Setd2KO
Tumor_140,0.5943316222956768,Kras-Setd2KO
Tumor_141,1.4982143489143829,Kras-Setd2KO
Tumor_142,0.44032591047633274,Kras-Setd2KO
Tumor_143,1.2232554375696265,Kras-Setd2KO
Tumor_144,0.3812801227606355,Kras-Setd2KO
Tumor_145,1.0997181245747294,Kras-Setd2KO
Tumor_146,0.4550375807909555,Kras-Setd2KO
Tumor_147,0.630450542291991,Kras-Setd2KO
Tumor_148,0.8301248129019807,Kras-Setd2KO
Tumor_149,2.0611057801502453,Kras-Setd2KO
Tumor_150,1.69371405106408,Kras-Setd2KO
Tumor_151,2.00986837912933,Kras-Setd2KO
Tumor_152,1.3708342269189489,Kras-Setd2KO
Tumor_153,1.5879745530857798,Kras-Setd2KO
Tumor_154,0.58497147960546,Kras-Setd2KO
Tumor_155,1.3657261007149255,Kras-Setd2KO
Tumor_156,0.5793951798379604,Kras-Setd2KO
Tumor_157,0.21688766818996927,Kras-Setd2KO
Tumor_158,0.028970004091670856,Kras-Setd2KO
Tumor_159,3.605212802109505,Kras-Setd2KO
