Subset,Kras-Ctrl,Kras-H3K36M,Kras-Setd2KO,Kras-H3K36M-Setd2KO
CD4.c01(Tn),5.985503857844283,4.013490725126475,2.6128266033254155,3.279266572637517
CD4.c02(CXCR5+ pre-Tfh),4.6995557633855505,3.709949409780776,4.750593824228028,4.619181946403385
CD4.c03(ADSL+ Tn),3.133037175590367,3.0016863406408096,3.008709422011085,2.8913963328631875
CD4.c05(TNF+ T),3.1564180500350716,3.473861720067454,3.246239113222486,3.1382228490832156
CD4.c06(AREG+ Tm),8.323591302314707,11.264755480607084,11.243072050673,8.638928067700988
CD4.c07(TIMP1+ Tm),0.5611409866729016,1.6526138279932545,2.2169437846397466,1.4456981664315938
CD4.c08(CREM+ Tm),3.133037175590367,1.888701517706577,3.0878859857482186,3.4203102961918197
CD4.c09(CCL5+ Tm),1.5665185877951835,3.204047217537943,3.483768804433888,3.349788434414669
CD4.c10(CAPG+ Tm),1.730184708908113,2.563237774030354,4.513064133016627,2.2919605077574046
CD4.c11(CAPG+CREM- Tm),7.879354687865327,8.499156829679595,7.1258907363420425,8.638928067700988
CD4.c12(GZMK+ Tem),2.0575169511339726,2.1585160202360876,2.454473475851148,2.5740479548660087
CD4.c13(Temra),0.3507131166705635,0.6408094435075885,0.3167062549485352,0.4936530324400564
CD4.c14(CCR6+ Th17),0.4909983633387889,0.5059021922428331,0.4750593824228029,0.9520451339915375
CD4.c15(IL26+ Th17),4.044891278933832,3.5075885328836423,3.32541567695962,4.901269393511988
CD4.c16(IL21+ Tfh),17.488894084638765,18.010118043844855,14.014251781472684,11.812411847672779
CD4.c17(IFNG+ Tfh/Th1),1.3794715922375496,2.327150084317032,1.583531274742676,1.4104372355430184
CD4.c18(TNFRSF9- Treg),3.7175590367079727,3.338954468802698,2.6128266033254155,3.4555712270803953
CD4.c19(S1PR1+ Treg),14.192190787935468,8.296795952782462,10.451306413301662,9.379407616361073
CD4.c20(TNFRSF9+ Treg),1.2625672200140285,1.9224283305227656,2.5336500395882817,3.2087447108603664
CD4.c21(ISG+ Treg),1.1222819733458032,1.1129848229342327,1.5043547110055424,2.8208744710860367
CD4.c22(ISG+ Th),8.463876548982933,8.161888701517707,8.471892319873318,8.709449929478138
CD4.c23(NME1+CCR4- T),2.3614683189151275,2.900505902192243,2.6920031670625493,2.7150916784203103
CD4.c24(NME1+CCR4+ T),2.8992284311433245,3.8448566610455313,4.275534441805226,5.853314527503526
